State,Integrated_Mandis,Total_Trade_Volume_MT,Total_Trade_Value_Rs_Crore
Andhra Pradesh,33,9096850,59676.71
Bihar,20,3395,14.75
Chandigarh,1,788565,1604.43
Chhattisgarh,20,1390055,2918.45
Goa,7,326,2.14
Gujarat,144,2970027,11754.42
Haryana,108,34253606,110749.58
Himachal Pradesh,38,453790,1717.14
Jammu and Kashmir,17,169339,1052.99
Jharkhand,19,34398,68.23
Karnataka,5,246949,1803.07
Kerala,6,770,2.51
Madhya Pradesh,139,10438145,34813.82
Maharashtra,133,5669341,21130.40
Odisha,66,2267148,5754.67
Punjab,79,4194777,13648.77
Rajasthan,173,28942649,119691.13
Tamil Nadu,213,3062889,8283.95
Telangana,57,7596161,28438.60
Uttar Pradesh,162,7673574,14961.62
Uttarakhand,20,905763,1443.25
West Bengal,18,103371,202.87
